"Node1","Node2","Line"
"Ruislip","Ruislip Manor","Piccadilly"
"Russell Square","Holborn","Piccadilly"
"Russell Square","King's Cross St. Pancras","Piccadilly"
"Seven Sisters","Finsbury Park","Victoria"
"Seven Sisters","Tottenham Hale","Victoria"
"Shadwell","Bank","Docklands Light Railway"
"Shadwell","Limehouse","Docklands Light Railway"
"Shadwell","Tower Gateway","Docklands Light Railway"
"Shadwell","Wapping","East London"
"Shadwell","Whitechapel","East London"
"Shepherd's Bush Market","Goldhawk Road","Circle"
"Shepherd's Bush Market","Goldhawk Road","Hammersmith & City"
"Shepherd's Bush Market","Wood Lane","Circle"
"Shepherd's Bush Market","Wood Lane","Hammersmith & City"
"Shepherd's Bush","Holland Park","Central"
"Shepherd's Bush","White City","Central"
"Shoreditch","Whitechapel","East London"
"Silvertown","Custom House","National Rail"
"Silvertown","North Woolwich","National Rail"
"Sloane Square","South Kensington","Circle"
"Sloane Square","South Kensington","District"
"Sloane Square","Victoria","Circle"
"Sloane Square","Victoria","District"
"Snaresbrook","Leytonstone","Central"
"Snaresbrook","South Woodford","Central"
"South Acton","Acton Central","National Rail"
"South Acton","Gunnersbury","National Rail"
"South Ealing","Acton Town","Piccadilly"
"South Ealing","Northfields","Piccadilly"
"South Harrow","Rayners Lane","Piccadilly"
"South Harrow","Sudbury Hill","Piccadilly"
"South Kensington","Gloucester Road","Circle"
"South Kensington","Gloucester Road","District"
"South Kensington","Gloucester Road","Piccadilly"
"South Kensington","Knightsbridge","Piccadilly"
"South Kensington","Sloane Square","Circle"
"South Kensington","Sloane Square","District"
"South Kenton","Kenton","Bakerloo"
"South Kenton","North Wembley","Bakerloo"
"South Quay","Crossharbour & London Arena","Docklands Light Railway"
"South Quay","Heron Quays","Docklands Light Railway"
"South Ruislip","Northolt","Central"
"South Ruislip","Ruislip Gardens","Central"
"South Wimbledon","Colliers Wood","Northern"
"South Wimbledon","Morden","Northern"
"South Woodford","Snaresbrook","Central"
"South Woodford","Woodford","Central"
"Southfields","East Putney","District"
"Southfields","Wimbledon Park","District"
"Southgate","Arnos Grove","Piccadilly"
"Southgate","Oakwood","Piccadilly"
"Southwark","London Bridge","Jubilee"
"Southwark","Waterloo","Jubilee"
"St. James's Park","Victoria","Circle"
"St. James's Park","Victoria","District"
"St. James's Park","Westminster","Circle"
"St. James's Park","Westminster","District"
"St. John's Wood","Baker Street","Jubilee"
"St. John's Wood","Swiss Cottage","Jubilee"
"St. Paul's","Bank","Central"
"St. Paul's","Chancery Lane","Central"
"Stamford Brook","Ravenscourt Park","District"
"Stamford Brook","Turnham Green","District"
"Stanmore","Canons Park","Jubilee"
"Stepney Green","Mile End","District"
"Stepney Green","Mile End","Hammersmith & City"
"Stepney Green","Whitechapel","District"
"Stepney Green","Whitechapel","Hammersmith & City"
"Stockwell","Brixton","Victoria"
"Stockwell","Clapham North","Northern"
"Stockwell","Oval","Northern"
"Stockwell","Vauxhall","Victoria"
"Stonebridge Park","Harlesden","Bakerloo"
"Stonebridge Park","Wembley Central","Bakerloo"
"Stratford","Hackney Wick","National Rail"
"Stratford","Leyton","Central"
"Stratford","Mile End","Central"
"Stratford","Pudding Mill Lane","Docklands Light Railway"
"Stratford","West Ham","Jubilee"
"Stratford","West Ham","National Rail"
"Sudbury Hill","South Harrow","Piccadilly"
"Sudbury Hill","Sudbury Town","Piccadilly"
"Sudbury Town","Alperton","Piccadilly"
"Sudbury Town","Sudbury Hill","Piccadilly"
"Surrey Quays","Canada Water","East London"
"Surrey Quays","New Cross Gate","East London"
"Surrey Quays","New Cross","East London"
"Swiss Cottage","Finchley Road","Jubilee"
"Swiss Cottage","St. John's Wood","Jubilee"
"Temple","Blackfriars","Circle"
"Temple","Blackfriars","District"
"Temple","Embankment","Circle"
"Temple","Embankment","District"
"Theydon Bois","Debden","Central"
"Theydon Bois","Epping","Central"
"Tooting Bec","Balham","Northern"
"Tooting Bec","Tooting Broadway","Northern"
"Tooting Broadway","Colliers Wood","Northern"
"Tooting Broadway","Tooting Bec","Northern"
"Tottenham Court Road","Goodge Street","Northern"
"Tottenham Court Road","Holborn","Central"
"Tottenham Court Road","Leicester Square","Northern"
"Tottenham Court Road","Oxford Circus","Central"
"Tottenham Hale","Blackhorse Road","Victoria"
"Tottenham Hale","Seven Sisters","Victoria"
"Totteridge & Whetstone","High Barnet","Northern"
"Totteridge & Whetstone","Woodside Park","Northern"
"Tower Gateway","Shadwell","Docklands Light Railway"
"Tower Gateway","Tower Hill","Walk"
"Tower Hill","Aldgate East","District"
"Tower Hill","Aldgate","Circle"
"Tower Hill","Monument","Circle"
"Tower Hill","Monument","District"
"Tower Hill","Tower Gateway","Walk"
"Tufnell Park","Archway","Northern"
"Tufnell Park","Kentish Town","Northern"
"Turnham Green","Acton Town","Piccadilly"
"Turnham Green","Chiswick Park","District"
"Turnham Green","Gunnersbury","District"
"Turnham Green","Hammersmith","Piccadilly"
"Turnham Green","Stamford Brook","District"
"Turnpike Lane","Manor House","Piccadilly"
"Turnpike Lane","Wood Green","Piccadilly"
"Upminster Bridge","Hornchurch","District"
"Upminster Bridge","Upminster","District"
"Upminster","Upminster Bridge","District"
"Upney","Barking","District"
"Upney","Becontree","District"
"Upton Park","East Ham","District"
"Upton Park","East Ham","Hammersmith & City"
"Upton Park","Plaistow","District"
"Upton Park","Plaistow","Hammersmith & City"
"Uxbridge","Hillingdon","Metropolitan"
"Uxbridge","Hillingdon","Piccadilly"
"Vauxhall","Pimlico","Victoria"
"Vauxhall","Stockwell","Victoria"
"Victoria","Green Park","Victoria"
"Victoria","Pimlico","Victoria"
"Victoria","Sloane Square","Circle"
"Victoria","Sloane Square","District"
"Victoria","St. James's Park","Circle"
"Victoria","St. James's Park","District"
"Walthamstow Central","Blackhorse Road","Victoria"
"Wanstead","Leytonstone","Central"
"Wanstead","Redbridge","Central"
"Wapping","Rotherhithe","East London"
"Wapping","Shadwell","East London"
"Warren Street","Euston","Northern"
"Warren Street","Euston","Victoria"
"Warren Street","Goodge Street","Northern"
"Warren Street","Oxford Circus","Victoria"
"Warwick Avenue","Maida Vale","Bakerloo"
"Warwick Avenue","Paddington","Bakerloo"
"Waterloo","Bank","Waterloo & City"
"Waterloo","Embankment","Bakerloo"
"Waterloo","Embankment","Northern"
"Waterloo","Lambeth North","Bakerloo"
"Waterloo","Southwark","Jubilee"
"Waterloo","Westminster","Jubilee"
"Watford","Croxley","Metropolitan"
"Wembley Central","North Wembley","Bakerloo"
"Wembley Central","Stonebridge Park","Bakerloo"
"Wembley Park","Finchley Road","Metropolitan"
"Wembley Park","Kingsbury","Jubilee"
"Wembley Park","Neasden","Jubilee"
"Wembley Park","Preston Road","Metropolitan"
"West Acton","Ealing Broadway","Central"
"West Acton","North Acton","Central"
"West Brompton","Earl's Court","District"
"West Brompton","Fulham Broadway","District"
"West Finchley","Finchley Central","Northern"
"West Finchley","Woodside Park","Northern"
"West Ham","Bromley-By-Bow","District"
"West Ham","Bromley-By-Bow","Hammersmith & City"
"West Ham","Canning Town","Jubilee"
"West Ham","Canning Town","National Rail"
"West Ham","Plaistow","District"
"West Ham","Plaistow","Hammersmith & City"
"West Ham","Stratford","Jubilee"
"West Ham","Stratford","National Rail"
"West Hampstead","Brondesbury","National Rail"
"West Hampstead","Finchley Road & Frognal","National Rail"
"West Hampstead","Finchley Road","Jubilee"
"West Hampstead","Kilburn","Jubilee"
"West Harrow","Harrow on the Hill","Metropolitan"
"West Harrow","Rayners Lane","Metropolitan"
"West India Quay","Canary Wharf","Docklands Light Railway"
"West India Quay","Poplar","Docklands Light Railway"
"West India Quay","Westferry","Docklands Light Railway"
"West Kensington","Barons Court","District"
"West Kensington","Earl's Court","District"
"West Ruislip","Ruislip Gardens","Central"
"Westbourne Park","Ladbroke Grove","Circle"
"Westbourne Park","Ladbroke Grove","Hammersmith & City"
"Westbourne Park","Royal Oak","Circle"
"Westbourne Park","Royal Oak","Hammersmith & City"
"Westferry","Limehouse","Docklands Light Railway"
"Westferry","Poplar","Docklands Light Railway"
"Westferry","West India Quay","Docklands Light Railway"
"Westminster","Embankment","Circle"
"Westminster","Embankment","District"
"Westminster","Green Park","Jubilee"
"Westminster","St. James's Park","Circle"
"Westminster","St. James's Park","District"
"Westminster","Waterloo","Jubilee"
"White City","East Acton","Central"
"White City","Shepherd's Bush","Central"
"White City","Wood Lane","Walk"
"Whitechapel","Aldgate East","District"
"Whitechapel","Aldgate East","Hammersmith & City"
"Whitechapel","Shadwell","East London"
"Whitechapel","Shoreditch","East London"
"Whitechapel","Stepney Green","District"
"Whitechapel","Stepney Green","Hammersmith & City"
"Willesden Green","Dollis Hill","Jubilee"
"Willesden Green","Kilburn","Jubilee"
"Willesden Junction","Harlesden","Bakerloo"
"Willesden Junction","Kensal Green","Bakerloo"
"Wimbledon Park","Southfields","District"
"Wimbledon Park","Wimbledon","District"
"Wimbledon","Wimbledon Park","District"
"Wood Green","Bounds Green","Piccadilly"
"Wood Green","Turnpike Lane","Piccadilly"
"Wood Lane","Latimer Road","Circle"
"Wood Lane","Latimer Road","Hammersmith & City"
"Wood Lane","Shepherd's Bush Market","Circle"
"Wood Lane","Shepherd's Bush Market","Hammersmith & City"
"Wood Lane","White City","Walk"
"Woodford","Buckhurst Hill","Central"
"Woodford","Roding Valley","Central"
"Woodford","South Woodford","Central"
"Woodside Park","Totteridge & Whetstone","Northern"
"Woodside Park","West Finchley","Northern"
